Rk,Year,Date,G#,Age,Tm,Location,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Tkl,Ast
1,2013,10/27/13,8,22-259,DEN,Home,WAS,W 45-21,4,22,5.5,0,0,0,0,,0,0.00%,,0,0,0,0,0
2,2013,11/10/13,9,22-273,DEN,Away,SDG,W 28-20,,,,,,,,,,0.00%,,,,,,
3,2013,11/17/13,10,22-280,DEN,Home,KAN,W 27-17,,,,,,,,,,0.00%,,,,,,
4,2013,11/24/13,11,22-287,DEN,Away,NWE,L 31-34,3,16,5.33,0,1,0,0,,0,0.00%,0,0,0,0,0,0
5,2013,12/8/13,13,22-301,DEN,Home,TEN,W 51-28,,,,,,,,,,0.00%,,,,,,
6,2014,9/7/14,1,23-209,DEN,Home,IND,W 31-24,4,27,6.75,0,0,0,0,,0,0.00%,,0,0,0,0,0
7,2014,9/14/14,2,23-216,DEN,Home,KAN,W 24-17,5,31,6.2,0,0,0,0,,0,0.00%,,0,0,0,0,0
8,2014,9/21/14,3,23-223,DEN,Away,SEA,L 20-26,2,-3,-1.5,0,1,1,1,1,0,100.00%,1,0,0,0,0,0
9,2014,10/12/14,5,23-244,DEN,Away,NYJ,W 31-17,,,,,,,,,,0.00%,,,,,,
10,2014,10/19/14,6,23-251,DEN,Home,SFO,W 42-17,2,9,4.5,0,0,0,0,,0,0.00%,,0,0,0,0,0
11,2014,10/23/14,7,23-255,DEN,Home,SDG,W 35-21,1,0,0,0,0,0,0,,0,0.00%,,0,0,0,0,0
12,2014,11/2/14,8,23-265,DEN,Away,NWE,L 21-43,3,18,6,0,4,3,33,11,0,75.00%,8.25,0,0,0,0,0
13,2014,11/9/14,9,23-272,DEN,Away,OAK,W 41-17,13,90,6.92,0,7,4,73,18.25,1,57.10%,10.43,1,6,0,0,0
14,2014,11/16/14,10,23-279,DEN,Away,STL,L 7-22,9,29,3.22,0,10,8,86,10.75,0,80.00%,8.6,0,0,0,1,0
15,2014,11/23/14,11,23-286,DEN,Home,MIA,W 39-36,27,167,6.19,1,4,4,28,7,0,100.00%,7,1,6,0,0,0
16,2014,11/30/14,12,23-293,DEN,Away,KAN,W 29-16,32,168,5.25,0,3,2,17,8.5,1,66.70%,5.67,1,6,0,0,0
17,2014,12/7/14,13,23-300,DEN,Home,BUF,W 24-17,21,58,2.76,3,0,0,0,,0,0.00%,,3,18,0,0,0
18,2014,12/14/14,14,23-307,DEN,Away,SDG,W 22-10,29,85,2.93,0,2,2,11,5.5,0,100.00%,5.5,0,0,0,0,0
19,2014,12/22/14,15,23-315,DEN,Away,CIN,L 28-37,18,83,4.61,1,10,8,55,6.88,0,80.00%,5.5,1,6,0,0,0
20,2014,12/28/14,16,23-321,DEN,Home,OAK,W 47-14,13,87,6.69,3,3,2,20,10,0,66.70%,6.67,3,18,0,0,0
21,2015,9/13/15,1,24-215,DEN,Home,BAL,W 19-13,12,29,2.42,0,8,4,19,4.75,0,50.00%,2.38,0,0,0,0,0
22,2015,9/17/15,2,24-219,DEN,Away,KAN,W 31-24,12,27,2.25,0,1,1,2,2,0,100.00%,2,0,0,0,0,0
23,2015,9/27/15,3,24-229,DEN,Away,DET,W 24-12,8,18,2.25,0,1,1,9,9,0,100.00%,9,0,0,0,0,0
24,2015,10/4/15,4,24-236,DEN,Home,MIN,W 23-20,11,43,3.91,0,1,1,27,27,0,100.00%,27,0,0,0,0,0
25,2015,10/11/15,5,24-243,DEN,Away,OAK,W 16-10,11,22,2,0,2,2,18,9,0,100.00%,9,0,0,0,0,0
26,2015,10/18/15,6,24-250,DEN,Away,CLE,W 26-23,13,41,3.15,0,4,4,25,6.25,0,100.00%,6.25,0,0,0,0,0
27,2015,11/1/15,7,24-264,DEN,Home,GNB,W 29-10,14,101,7.21,1,1,1,5,5,0,100.00%,5,1,6,0,0,0
28,2015,11/8/15,8,24-271,DEN,Away,IND,L 24-27,7,34,4.86,0,2,1,4,4,0,50.00%,2,0,0,0,0,0
29,2015,11/15/15,9,24-278,DEN,Home,KAN,L 13-29,2,9,4.5,0,1,0,0,,0,0.00%,0,0,0,0,0,0
30,2015,11/22/15,10,24-285,DEN,Away,CHI,W 17-15,12,59,4.92,0,2,2,13,6.5,0,100.00%,6.5,0,0,0,0,0
31,2015,11/29/15,11,24-292,DEN,Home,NWE,W 30-24,15,113,7.53,2,4,4,40,10,0,100.00%,10,2,12,0,0,0
32,2015,12/6/15,12,24-299,DEN,Away,SDG,W 17-3,7,42,6,0,1,1,12,12,0,100.00%,12,0,0,0,0,0
33,2015,12/20/15,14,24-313,DEN,Away,PIT,L 27-34,4,14,3.5,0,3,1,6,6,0,33.30%,2,0,0,0,0,0
34,2015,12/28/15,15,24-321,DEN,Home,CIN,W 20-17,9,73,8.11,1,2,1,8,8,0,50.00%,4,1,6,0,0,0
35,2015,1/3/16,16,24-327,DEN,Home,SDG,W 27-20,15,95,6.33,1,3,1,-5,-5,0,33.30%,-1.67,1,6,0,0,0
36,2016,9/8/16,1,25-211,DEN,Home,CAR,W 21-20,20,92,4.6,1,5,4,47,11.75,1,80.00%,9.4,2,12,0,0,0
37,2016,9/18/16,2,25-221,DEN,Home,IND,W 34-20,20,74,3.7,1,5,3,19,6.33,0,60.00%,3.8,1,6,0,0,0
38,2016,9/25/16,3,25-228,DEN,Away,CIN,W 29-17,14,37,2.64,0,4,1,4,4,0,25.00%,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
