Rk,Year,Date,G#,Age,Tm,Location,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2010,9/26/10,3,23-295,TAM,Home,PIT,L 13-38,6,27,4.5,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
2,2010,10/10/10,4,23-309,TAM,Away,CIN,W 24-21,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
3,2010,10/24/10,6,23-323,TAM,Home,STL,W 18-17,11,72,6.55,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
4,2010,10/31/10,7,23-330,TAM,Away,ARI,W 38-35,22,120,5.45,2,2,2,9,4.5,0,100.00%,4.5,0,0,,0,2,12,0,0,0
5,2010,11/7/10,8,23-337,TAM,Away,ATL,L 21-27,13,46,3.54,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
6,2010,11/14/10,9,23-344,TAM,Home,CAR,W 31-16,19,91,4.79,1,1,0,0,,0,0.00%,0,0,0,,0,1,6,0,1,0
7,2010,11/21/10,10,23-351,TAM,Away,SFO,W 21-0,26,82,3.15,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
8,2010,11/28/10,11,23-358,TAM,Away,BAL,L 10-17,13,55,4.23,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
9,2010,12/5/10,12,24-000,TAM,Home,ATL,L 24-28,20,103,5.15,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
10,2010,12/12/10,13,24-007,TAM,Away,WAS,W 17-16,15,68,4.53,0,1,0,0,,0,0.00%,0,0,0,,0,0,0,0,0,0
11,2010,12/19/10,14,24-014,TAM,Home,DET,L 20-23,15,110,7.33,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
12,2010,12/26/10,15,24-021,TAM,Home,SEA,W 38-15,18,164,9.11,0,1,1,3,3,0,100.00%,3,0,0,,0,0,0,0,0,0
13,2010,1/2/11,16,24-028,TAM,Away,NOR,W 23-13,19,66,3.47,0,2,2,2,1,0,100.00%,1,0,0,,0,0,0,0,0,0
14,2011,9/11/11,1,24-280,TAM,Home,DET,L 20-27,5,15,3,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
15,2011,9/18/11,2,24-287,TAM,Away,MIN,W 24-20,13,71,5.46,2,0,0,0,,0,0.00%,,0,0,,0,2,12,0,0,0
16,2011,9/25/11,3,24-294,TAM,Home,ATL,W 16-13,24,81,3.38,0,3,1,13,13,0,33.30%,4.33,0,0,,0,0,0,0,1,0
17,2011,10/3/11,4,24-302,TAM,Home,IND,W 24-17,25,127,5.08,1,2,1,14,14,0,50.00%,7,0,0,,0,1,6,0,0,0
18,2011,10/9/11,5,24-308,TAM,Away,SFO,L 3-48,10,34,3.4,0,3,2,31,15.5,0,66.70%,10.33,0,0,,0,0,0,0,0,0
