Location,Opp,Def.Rank.Yds,RushYds,RushTD,RecYds,RecTD
Home,STL,30,17,0,21,0
Away,PHI,23,15,0,0,0
Home,DAL,10,42,0,5,0
Away,ARI,8,4,0,-12,0
Home,IND,11,31,0,14,0
Away,WAS,9,89,1,0,0
Home,TAM,1,40,0,-7,0
Home,NYG,24,33,0,3,0
Away,CHI,2,55,0,0,0
Home,ARI,8,22,0,31,0
Away,SEA,16,5,0,6,0
Away,JAX,6,79,0,57,0
Away,STL,30,68,2,0,0
Home,HOU,31,108,0,13,0
Away,ARI,29,87,2,83,0
Home,STL,23,127,1,10,0
Home,PHI,15,52,0,22,0
Away,KAN,16,65,0,14,0
Home,OAK,3,134,0,38,0
Home,SDG,10,55,0,35,0
Away,CHI,5,111,0,9,0
Home,MIN,8,41,0,36,0
Away,DET,28,159,1,14,0
Home,SEA,14,212,0,26,0
Away,STL,23,134,1,31,0
Away,NOR,11,40,0,28,0
Home,GNB,12,130,1,38,0
Away,SEA,19,144,0,34,1
Home,ARI,29,51,2,35,0
Away,DEN,14,153,0,32,0
Home,ARI,17,55,1,21,0
Away,STL,21,81,2,4,0
Away,PIT,1,39,0,12,0
Home,SEA,15,79,0,42,0
Home,BAL,6,52,0,23,0
Away,NYG,7,88,0,23,0
Home,NOR,26,41,0,0,0
Away,SEA,15,72,0,7,0
Home,STL,21,32,0,31,0
Away,ARI,17,116,2,98,0
Away,CAR,16,58,0,53,0
Home,MIN,20,68,0,49,0
Home,CIN,27,138,0,9,0
Home,TAM,2,89,0,43,1
Away,CLE,30,94,0,21,0
Home,ARI,19,96,1,55,0
Away,SEA,30,61,1,38,0
Home,DET,32,130,1,32,0
Away,NOR,23,82,0,31,0
Home,NWE,10,54,0,24,1
Home,PHI,3,101,1,16,0
Away,NYG,5,11,0,50,0
Home,SEA,30,94,0,65,0
Away,ARI,19,99,0,6,0
Home,STL,28,106,2,8,0
Away,DAL,8,26,0,6,0
Away,BUF,14,66,0,23,0
Home,NYJ,16,52,0,13,1
Home,WAS,4,58,0,6,0
