Rk,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts
1,2014,9/7/14,1,22-352,SFO,@,DAL,W 28-17,7,50,7.14,1,0,0,0,,0,0.00%,,0,0,,0,1,6
2,2014,9/14/14,2,22-359,SFO,,CHI,L 20-28,4,0,0,0,2,1,5,5,0,50.00%,2.5,0,0,,0,0,0
3,2014,9/21/14,3,23-001,SFO,@,ARI,L 14-23,3,13,4.33,1,2,2,-2,-1,0,100.00%,-1,0,0,,0,1,6
4,2014,9/28/14,4,23-008,SFO,,PHI,W 26-21,10,26,2.6,0,1,0,0,,0,0.00%,0,0,0,,0,0,0
5,2014,10/5/14,5,23-015,SFO,,KAN,W 22-17,10,43,4.3,0,1,0,0,,0,0.00%,0,0,0,,0,0,0
6,2014,10/13/14,6,23-023,SFO,@,STL,W 31-17,11,14,1.27,0,1,1,1,1,0,100.00%,1,0,0,,0,0,0
7,2014,10/19/14,7,23-029,SFO,@,DEN,L 17-42,3,15,5,0,2,2,8,4,0,100.00%,4,0,0,,0,0,0
8,2014,11/2/14,8,23-043,SFO,,STL,L 10-13,2,17,8.5,0,2,1,5,5,0,50.00%,2.5,0,0,,0,0,0
9,2014,11/9/14,9,23-050,SFO,@,NOR,W 27-24,4,36,9,1,0,0,0,,0,0.00%,,3,82,27.33,0,1,6
10,2014,11/16/14,10,23-057,SFO,@,NYG,W 16-10,9,25,2.78,0,1,1,5,5,0,100.00%,5,1,26,26,0,0,0
11,2014,11/23/14,11,23-064,SFO,,WAS,W 17-13,7,16,2.29,1,0,0,0,,0,0.00%,,4,98,24.5,0,1,6
12,2014,11/27/14,12,23-068,SFO,,SEA,L 3-19,5,19,3.8,0,3,3,38,12.67,0,100.00%,12.67,3,62,20.67,0,0,0
13,2014,12/7/14,13,23-078,SFO,@,OAK,L 13-24,2,4,2,0,1,1,8,8,0,100.00%,8,0,0,,0,0,0
14,2014,12/14/14,14,23-085,SFO,@,SEA,L 7-17,6,55,9.17,0,0,0,0,,0,0.00%,,0,0,,0,0,0
15,2015,9/14/15,1,23-359,SFO,,MIN,W 20-3,26,168,6.46,2,2,2,14,7,0,100.00%,7,0,0,,0,2,12
16,2015,9/20/15,2,24-000,SFO,@,PIT,L 18-43,13,43,3.31,0,4,4,18,4.5,0,100.00%,4.5,0,0,,0,0,0
17,2015,9/27/15,3,24-007,SFO,@,ARI,L 7-47,15,51,3.4,0,1,1,10,10,0,100.00%,10,0,0,,0,0,0
18,2015,10/4/15,4,24-014,SFO,,GNB,L 3-17,8,20,2.5,0,1,1,2,2,0,100.00%,2,0,0,,0,0,0
19,2015,10/11/15,5,24-021,SFO,@,NYG,L 27-30,21,93,4.43,1,5,1,4,4,0,20.00%,0.8,0,0,,0,1,6
20,2015,10/18/15,6,24-028,SFO,,BAL,W 25-20,21,55,2.62,0,2,2,5,2.5,0,100.00%,2.5,0,0,,0,0,0
21,2015,10/22/15,7,24-032,SFO,,SEA,L 3-20,11,40,3.64,0,0,0,0,,0,0.00%,,0,0,,0,0,0
22,2016,9/12/16,1,24-358,SFO,,LAR,W 28-0,23,88,3.83,2,3,2,5,2.5,0,66.70%,1.67,0,0,,0,2,12
23,2016,9/18/16,2,24-364,SFO,@,CAR,L 27-46,14,34,2.43,0,3,3,18,6,0,100.00%,6,0,0,,0,0,0
