Rk,Date,G#,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
1,10/5/14,5,21-334,NYG,,ATL,W 30-20,5,4,44,11,1,80.00%,8.8
2,10/12/14,6,21-341,NYG,@,PHI,L 0-27,4,2,28,14,0,50.00%,7
3,10/19/14,7,21-348,NYG,@,DAL,L 21-31,6,4,34,8.5,2,66.70%,5.67
4,11/3/14,8,21-363,NYG,,IND,L 24-40,11,8,156,19.5,0,72.70%,14.18
5,11/9/14,9,22-004,NYG,@,SEA,L 17-38,9,7,108,15.43,0,77.80%,12
6,11/16/14,10,22-011,NYG,,SFO,L 10-16,13,6,93,15.5,0,46.20%,7.15
7,11/23/14,11,22-018,NYG,,DAL,L 28-31,11,10,146,14.6,2,90.90%,13.27
8,11/30/14,12,22-025,NYG,@,JAX,L 24-25,8,7,90,12.86,0,87.50%,11.25
9,12/7/14,13,22-032,NYG,@,TEN,W 36-7,15,11,130,11.82,1,73.30%,8.67
10,12/14/14,14,22-039,NYG,,WAS,W 24-13,15,12,143,11.92,3,80.00%,9.53
11,12/21/14,15,22-046,NYG,@,STL,W 37-27,12,8,148,18.5,2,66.70%,12.33
12,12/28/14,16,22-053,NYG,,PHI,L 26-34,21,12,185,15.42,1,57.10%,8.81
1,9/13/15,1,22-312,NYG,@,DAL,L 26-27,8,5,44,8.8,0,62.50%,5.5
2,9/20/15,2,22-319,NYG,,ATL,L 20-24,12,7,146,20.86,1,58.30%,12.17
3,9/24/15,3,22-323,NYG,,WAS,W 32-21,9,7,79,11.29,1,77.80%,8.78
4,10/4/15,4,22-333,NYG,@,BUF,W 24-10,12,5,38,7.6,0,41.70%,3.17
5,10/11/15,5,22-340,NYG,,SFO,W 30-27,11,7,121,17.29,1,63.60%,11
6,10/19/15,6,22-348,NYG,@,PHI,L 7-27,8,7,61,8.71,1,87.50%,7.63
7,10/25/15,7,22-354,NYG,,DAL,W 27-20,6,4,35,8.75,0,66.70%,5.83
8,11/1/15,8,22-361,NYG,@,NOR,L 49-52,9,8,130,16.25,3,88.90%,14.44
9,11/8/15,9,23-003,NYG,@,TAM,W 32-18,17,9,105,11.67,0,52.90%,6.18
10,11/15/15,10,23-010,NYG,,NWE,L 26-27,12,4,104,26,1,33.30%,8.67
11,11/29/15,11,23-024,NYG,@,WAS,L 14-20,18,9,142,15.78,1,50.00%,7.89
12,12/6/15,12,23-031,NYG,,NYJ,L 20-23,11,6,149,24.83,1,54.50%,13.55
13,12/14/15,13,23-039,NYG,@,MIA,W 31-24,9,7,166,23.71,2,77.80%,18.44
14,12/20/15,14,23-045,NYG,,CAR,L 35-38,9,6,76,12.67,1,66.70%,8.44
15,1/3/16,16,23-059,NYG,,PHI,L 30-35,7,5,54,10.8,0,71.40%,7.71
